,countrynumber,OECD,NONOECD,NAFTA,E_ASIA,ASEAN8,EU28,EU15,EU13,EUR31TUR,ESE_ASIA,S_AMR3,OTH1
AUS,1,1,0,0,0,0,0,0,0,0,0,0,1
AUT,2,1,0,0,0,0,1,1,0,1,0,0,0
BEL,3,1,0,0,0,0,1,1,0,1,0,0,0
CAN,4,1,0,1,0,0,0,0,0,0,0,0,0
CHL,5,1,0,0,0,0,0,0,0,0,0,1,0
CZE,6,1,0,0,0,0,1,0,1,1,0,0,0
DNK,7,1,0,0,0,0,1,1,0,1,0,0,0
EST,8,1,0,0,0,0,1,0,1,1,0,0,0
FIN,9,1,0,0,0,0,1,1,0,1,0,0,0
FRA,10,1,0,0,0,0,1,1,0,1,0,0,0
DEU,11,1,0,0,0,0,1,1,0,1,0,0,0
GRC,12,1,0,0,0,0,1,1,0,1,0,0,0
HUN,13,1,0,0,0,0,1,0,1,1,0,0,0
ISL,14,1,0,0,0,0,0,0,0,1,0,0,0
IRL,15,1,0,0,0,0,1,1,0,1,0,0,0
ISR,16,1,0,0,0,0,0,0,0,0,0,0,1
ITA,17,1,0,0,0,0,1,1,0,1,0,0,0
JPN,18,1,0,0,1,0,0,0,0,0,1,0,0
KOR,19,1,0,0,1,0,0,0,0,0,1,0,0
LUX,20,1,0,0,0,0,1,1,0,1,0,0,0
MEX,21,1,0,1,0,0,0,0,0,0,0,0,0
NLD,22,1,0,0,0,0,1,1,0,1,0,0,0
NZL,23,1,0,0,0,0,0,0,0,0,0,0,1
NOR,24,1,0,0,0,0,0,0,0,1,0,0,0
POL,25,1,0,0,0,0,1,0,1,1,0,0,0
PRT,26,1,0,0,0,0,1,1,0,1,0,0,0
SVK,27,1,0,0,0,0,1,0,1,1,0,0,0
SVN,28,1,0,0,0,0,1,0,1,1,0,0,0
ESP,29,1,0,0,0,0,1,1,0,1,0,0,0
SWE,30,1,0,0,0,0,1,1,0,1,0,0,0
CHE,31,1,0,0,0,0,0,0,0,1,0,0,0
TUR,32,1,0,0,0,0,0,0,0,1,0,0,0
GBR,33,1,0,0,0,0,1,1,0,1,0,0,0
USA,34,1,0,1,0,0,0,0,0,0,0,0,0
ARG,35,0,1,0,0,0,0,0,0,0,0,1,0
BRA,36,0,1,0,0,0,0,0,0,0,0,1,0
CHN,37,0,1,0,1,0,0,0,0,0,1,0,0
TWN,38,0,1,0,1,0,0,0,0,0,1,0,0
IND,39,0,1,0,0,0,0,0,0,0,0,0,1
IDN,40,0,1,0,0,1,0,0,0,0,1,0,0
RUS,41,0,1,0,0,0,0,0,0,1,0,0,0
SGP,42,0,1,0,0,1,0,0,0,0,1,0,0
ZAF,43,0,1,0,0,0,0,0,0,0,0,0,1
HKG,44,0,1,0,1,0,0,0,0,0,1,0,0
MYS,45,0,1,0,0,1,0,0,0,0,1,0,0
PHL,46,0,1,0,0,1,0,0,0,0,1,0,0
THA,47,0,1,0,0,1,0,0,0,0,1,0,0
ROU,48,0,1,0,0,0,1,0,1,1,0,0,0
VNM,49,0,1,0,0,1,0,0,0,0,1,0,0
SAU,50,0,1,0,0,0,0,0,0,0,0,0,1
BRN,51,0,1,0,0,1,0,0,0,0,1,0,0
BGR,52,0,1,0,0,0,1,0,1,1,0,0,0
CYP,53,0,1,0,0,0,1,0,1,1,0,0,0
LVA,54,0,1,0,0,0,1,0,1,1,0,0,0
LTU,55,0,1,0,0,0,1,0,1,1,0,0,0
MLT,56,0,1,0,0,0,1,0,1,1,0,0,0
KHM,57,0,1,0,0,1,0,0,0,0,1,0,0
COL,58,0,1,0,0,0,0,0,0,0,0,1,0
CRI,59,0,1,0,0,0,0,0,0,0,0,0,1
HRV,60,0,1,0,0,0,1,0,1,0,0,0,0
TUN,61,0,1,0,0,0,0,0,0,0,0,0,1
ROW,62,0,1,0,0,0,0,0,0,0,0,0,1
