sou,cou,ind,formula
EUNAMAR1,,C60T63,C60T64-C64
EUNAMAR1,LTU,C23,0
EUNAMAR2,,CTOTAL,DTOTAL
EUNAMAR2,,C01T05,D01T03
EUNAMAR2,,C10T14,D05T09
EUNAMAR2,,C15T37,D10T33+D58
EUNAMAR2,,C15T16,D10T12
EUNAMAR2,,C17T19,D13T15
EUNAMAR2,,C20T22,D16T18+D58
EUNAMAR2,,C20,D16
EUNAMAR2,,C21T22,D17+D18+D58
EUNAMAR2,,C23T26,D19T23
EUNAMAR2,,C23,D19
EUNAMAR2,,C24,D20T21
EUNAMAR2,,C25,D22
EUNAMAR2,,C26,D23
EUNAMAR2,,C27T28,D24T25
EUNAMAR2,,C27,D24
EUNAMAR2,,C28,D25
EUNAMAR2,,C29,D28
EUNAMAR2,,C30T33,D26T27
EUNAMAR2,,C30T33X,D26
EUNAMAR2,,C31,D27
EUNAMAR2,,C34T35,D29T30
EUNAMAR2,,C34,D29
EUNAMAR2,,C35,D30
EUNAMAR2,,C36T37,D31T33
EUNAMAR2,,C40T41,D35+D36
EUNAMAR2,,C45,D41T43
EUNAMAR2,,C50T64,D45T47+D49T53+D55T56+D61+D79+D95
EUNAMAR2,,C50T52,D45T47+D95
EUNAMAR2,,C55,D55T56
EUNAMAR2,,C60T64,D49T53+D61+D79
EUNAMAR2,,C60T63,D49+D50+D51+D52+D79
EUNAMAR2,,C64,D53+D61
EUNAMAR2,,C65T67,D64T66
EUNAMAR2,,C70T74,D62T63+D68+D69T82
EUNAMAR2,,C70,D68
EUNAMAR2,,C71,D77
EUNAMAR2,,C72,D62T63
EUNAMAR2,,C73T74,D69T75+D78+D80T82
EUNAMAR2,,C75T99,D37T39+D59T60+D84T88+D90T93+D94+D96+D97T98
EUNAMAR2,,C75,D84
EUNAMAR2,,C80,D85
EUNAMAR2,,C85,D86T88
EUNAMAR2,,C90T93,D37T39+D59T60+D90T93+D94+D96
EUNAMAR2,,C95,D97T98
EUNAMAR2,IRL,C15T37,D10T33
EUNAMAR2,IRL,C20T22,D16TD18
EUNAMAR2,IRL,C21T22,D17+D18
EUNAMAR2,IRL,C73T74,D69T71+D72+D73T75+D78+D80T82
EUNAMAR2,IRL,C75T99,D36T39+D84T88+D90T93+D94T96+D97T98
EUNAMAR2,IRL,C90T93,D36T39+D90T93+D94T96
EUNAMAR2,LTU,C23,0
EUNAMAR2,LTU,C23T26,D20T21+D22T23
EUNAMAR2,MLT,C23,0
EUNAMAR2,MLT,C23T26,D20T21+D22T23
EUNAMAR2,MLT,C30T33,D27
EUNAMAR2,MLT,C30T33X,D27
EUNAMAR2,MLT,C34T35,D30
EUNAMAR2,MLT,C34,D30
EUNAMAR2,MLT,C40T41,D37T39
EUNAMAR2,MLT,C60T63,D49T53
EUNAMAR2,MLT,C64,D61
EUNAMAR2,MLT,C73T74,D69T82
EUNAMAR2,MLT,C90T93,D59T60+D90T93+D94T96
NSONAPATCHi3,,C30T33X,C30T33-C31
NSONAPATCHi3,CAN,C10T41,C10T14+C15T37+C40T41
NSONAPATCHi3,CAN,C50T64,C50T55+C60T64
NSONAPATCHi4,,CTOTAL,DTOTAL
NSONAPATCHi4,,C01T05,D01T03
NSONAPATCHi4,,C10T14,D05T09
