sou,cou,var,yearmin,yearmax
STANandBTD,AUT,VALU,NA,2007
STANandBTD,AUT,PROD,NA,2007
STANandBTD,AUT,EMPN,NA,2007
STANandBTD,AUT,LABR,NA,2007
STANandBTD,BEL,VALU,NA,2007
STANandBTD,BEL,PROD,NA,2007
STANandBTD,BEL,EMPN,NA,2007
STANandBTD,BEL,LABR,NA,2007
STANandBTD,CZE,VALU,NA,2007
STANandBTD,CZE,PROD,NA,2007
STANandBTD,CZE,EMPN,NA,2007
STANandBTD,CZE,LABR,NA,2007
STANandBTD,DEU,VALU,NA,2007
STANandBTD,DEU,PROD,NA,2007
STANandBTD,DEU,EMPN,NA,2007
STANandBTD,DEU,LABR,NA,2007
STANandBTD,DNK,VALU,NA,2006
STANandBTD,DNK,PROD,NA,2006
STANandBTD,DNK,EMPN,NA,2006
STANandBTD,DNK,LABR,NA,2006
STANandBTD,ESP,VALU,NA,2007
STANandBTD,ESP,PROD,NA,2007
STANandBTD,ESP,EMPN,NA,2007
STANandBTD,ESP,LABR,NA,2007
STANandBTD,EST,VALU,NA,2007
STANandBTD,EST,PROD,NA,2007
STANandBTD,EST,EMPN,NA,2007
STANandBTD,EST,LABR,NA,2007
STANandBTD,FIN,VALU,NA,2007
STANandBTD,FIN,PROD,NA,2007
STANandBTD,FIN,EMPN,NA,2007
STANandBTD,FIN,LABR,NA,2007
STANandBTD,HUN,VALU,NA,2007
STANandBTD,HUN,PROD,NA,2007
STANandBTD,HUN,EMPN,NA,2007
STANandBTD,HUN,LABR,NA,2007
STANandBTD,ITA,VALU,NA,2007
STANandBTD,ITA,PROD,NA,2007
STANandBTD,ITA,EMPN,NA,2007
STANandBTD,ITA,LABR,NA,2007
STANandBTD,LUX,VALU,NA,2007
STANandBTD,LUX,PROD,NA,2007
STANandBTD,LUX,EMPN,NA,2007
STANandBTD,LUX,LABR,NA,2007
STANandBTD,NLD,VALU,NA,2007
STANandBTD,NLD,PROD,NA,2007
STANandBTD,NLD,EMPN,NA,2007
STANandBTD,NLD,LABR,NA,2007
STANandBTD,PRT,VALU,NA,2006
STANandBTD,PRT,PROD,NA,2006
STANandBTD,PRT,EMPN,NA,2006
STANandBTD,PRT,LABR,NA,2006
STANandBTD,SVN,VALU,NA,2007
STANandBTD,SVN,PROD,NA,2007
STANandBTD,SVN,EMPN,NA,2007
STANandBTD,SVN,LABR,NA,2007
STANandBTD,SVK,VALU,NA,2007
STANandBTD,SVK,PROD,NA,2007
STANandBTD,SVK,EMPN,NA,2007
STANandBTD,SVK,LABR,NA,2007
STANandBTD,SWE,VALU,NA,2007
STANandBTD,SWE,PROD,NA,2007
STANandBTD,SWE,EMPN,NA,2007
STANandBTD,SWE,LABR,NA,2007
