"cou","var","ind","est","sou","value"
"AUS","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"AUS","VALU","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"AUS","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"AUS","VALU","CTOTAL","DET","SEC",""
"AUS","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"AUS","PROD","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
"AUS","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"AUS","PROD","CTOTAL","DET","SEC",""
"AUS","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"AUS","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"AUS","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"AUS","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"AUS","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"AUS","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"AUS","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"AUS","LABR","CTOTAL","DET","SEC","INDSTAT32"
"AUT","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"AUT","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"AUT","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"AUT","VALU","CTOTAL","DET","SEC","INDSTAT32"
"AUT","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"AUT","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"AUT","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"AUT","PROD","CTOTAL","DET","SEC","INDSTAT32"
"AUT","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"AUT","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"AUT","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"AUT","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"AUT","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"AUT","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"AUT","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"AUT","LABR","CTOTAL","DET","SEC","INDSTAT32"
"BEL","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"BEL","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"BEL","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"BEL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"BEL","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"BEL","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"BEL","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"BEL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"BEL","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"BEL","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"BEL","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"BEL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"BEL","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"BEL","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"BEL","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"BEL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"CAN","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"CAN","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"CAN","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"CAN","VALU","CTOTAL","DET","SEC","STANandBTDi4, INDSTAT32"
"CAN","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"CAN","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"CAN","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"CAN","PROD","CTOTAL","DET","SEC","STANandBTDi4, INDSTAT32"
"CAN","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"CAN","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"CAN","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"CAN","EMPN","CTOTAL","DET","SEC","STANandBTDi4, INDSTAT32"
"CAN","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"CAN","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"CAN","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"CAN","LABR","CTOTAL","DET","SEC","STANandBTDi4, INDSTAT32"
"CHE","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"CHE","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"CHE","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"CHE","VALU","CTOTAL","DET","SEC","INDSTAT32"
"CHE","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"CHE","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"CHE","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"CHE","PROD","CTOTAL","DET","SEC","INDSTAT32"
"CHE","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"CHE","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"CHE","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"CHE","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"CHE","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"CHE","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"CHE","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"CHE","LABR","CTOTAL","DET","SEC","INDSTAT32"
"CHL","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"CHL","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"CHL","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
