"var","ind","year","value"
"INTI","D01",1997,131200
"PROD","D01",1997,219400
"VALU","D01",1997,88100
"CAPN","D01",1997,286400
"GFCF","D01",1997,25000
"INTI","D01",1998,128800
"PROD","D01",1998,207800
"VALU","D01",1998,79000
"EMPE","D01",1998,856000
"FTEE","D01",1998,734000
"FTEN","D01",1998,1622000
"LABR","D01",1998,18213
"WAGE","D01",1998,15883000
"CAPN","D01",1998,297100
"GFCF","D01",1998,24800
"VKPY","D01",1998,83816.0676532769
"PKPY","D01",1998,220711.562677577
"IKPY","D01",1998,136798.91140006
"GKPY","D01",1998,24565.2487943641
"CNPY","D01",1998,289133.407301283
"EMPN","D01",1998,1744000
"INTI","D01",1999,129000
"PROD","D01",1999,199900
"VALU","D01",1999,70900
"EMPE","D01",1999,903000
"FTEE","D01",1999,774000
"FTEN","D01",1999,1643000
"LABR","D01",1999,18908
"WAGE","D01",1999,16169000
"CAPN","D01",1999,302900
"GFCF","D01",1999,20500
"VKPY","D01",1999,82548.2725060827
"PKPY","D01",1999,212570.319490262
"IKPY","D01",1999,130155.236541599
"GKPY","D01",1999,19262.4953352407
"CNPY","D01",1999,294592.439099862
"EMPN","D01",1999,1772000
"INTI","D01",2000,128300
"PROD","D01",2000,204300
"VALU","D01",2000,76000
"EMPE","D01",2000,877000
"FTEE","D01",2000,752000
"FTEN","D01",2000,1631000
"LABR","D01",2000,19718
"WAGE","D01",2000,16970000
"CAPN","D01",2000,311100
"GFCF","D01",2000,22400
"VKPY","D01",2000,84095.1768888061
"PKPY","D01",2000,202429.988514379
"IKPY","D01",2000,119457.556434471
"GKPY","D01",2000,21605.2282918875
"CNPY","D01",2000,302502.339445592
"EMPN","D01",2000,1756000
"INTI","D01",2001,134200
"PROD","D01",2001,212300
"VALU","D01",2001,78100
"EMPE","D01",2001,873000
"FTEE","D01",2001,748000
"FTEN","D01",2001,1629000
"LABR","D01",2001,20877
"WAGE","D01",2001,17919000
"CAPN","D01",2001,319900
"GFCF","D01",2001,23800
"VKPY","D01",2001,70379.174955502
"PKPY","D01",2001,201376.781468798
"IKPY","D01",2001,131172.842435571
"GKPY","D01",2001,23374.4512136157
"CNPY","D01",2001,311720.148481779
"EMPN","D01",2001,1754000
"INTI","D01",2002,127900
"PROD","D01",2002,201900
"VALU","D01",2002,74000
"EMPE","D01",2002,872000
"FTEE","D01",2002,747000
"FTEN","D01",2002,1654000
"LABR","D01",2002,20789
"WAGE","D01",2002,17911000
